5000 5000
446011029 444787 12866
713179142 825407 15196
147507144 28454 9485
457686802 578760 79393
207914007 878338 71304
527383865 370697 24102
826902386 279144 50049
536041308 523295 96871
748756264 457960 62158
922424349 234930 77288
798859849 244549 6895
869709444 219825 57565
911394476 600748 56223
814157571 903780 33683
504509676 646008 2116
706131148 171114 32869
620936899 370213 18328
851871428 512078 8215
829888607 509671 40902
261256050 295782 60276
824508975 402032 45449
352691846 514804 46532
541639147 160464 30631
479938901 913280 21883
435004309 294118 89554
724482987 123702 50921
389615255 418390 51705
839235876 858158 98451
145919751 737 83390
122719002 962633 15351
752750318 383117 80947
129012264 25559 4480
991701279 151651 82413
525976760 186020 89985
95527181 509674 36907
84335694 352834 92042
649112854 94637 30933
690563864 273821 9241
644502640 8198 42605
677999679 968614 42580
376849774 68044 82406
967893524 155632 44075
155476893 666267 74183
176883449 421107 67599
588211347 223374 7476
35166607 104624 31700
854033565 234106 2911
230253737 655213 27504
942993311 72300 92623
899254857 450595 25053
334333431 557474 16168
3551296 263342 5135
373407971 945069 82836
372625998 141646 18794
946364256 599624 4821
17157751 41336 85279
844049980 668907 94831
74659413 306405 95522
409550336 593438 85921
23858879 477266 90068
388104734 750074 79973
226767596 143223 81815
921634034 241663 86314
629725986 43128 41076
643389712 840294 85168
512770263 465733 26626
837481731 234131 94614
599858789 514879 28134
251651340 221741 38192
933354606 648651 75126
696178754 965596 53813
989989506 793202 89985
181277193 312597 86737
491594575 429564 74820
100472156 136198 69799
779705810 190368 85568
480798187 464951 39244
14805101 186462 61214
684081877 117042 69918
852931309 324852 423
918963446 908770 24305
139903118 103858 10273
797613605 110798 20178
342790063 84750 99902
866820177 124744 51269
207814623 231455 86265
842513282 297149 55702
64322390 185695 46097
736041788 557080 64718
642875581 133710 44872
834819908 72073 63890
219896300 517434 91093
396831842 542971 63094
848350595 180890 65231
38501711 474896 18463
574023061 866077 94659
28098999 700035 65838
105927340 764271 94330
553284190 132319 56491
5299575 341657 91209
563518600 305372 355
790031201 992116 85891
701799293 735187 30940
785368983 908943 78731
653381054 688431 9753
48770094 656351 39428
50773660 717995 85666
160320429 132268 61403
469216561 557781 61403
196537061 648827 32252
666528592 221829 27761
249321063 580528 20654
927921497 641278 48620
244710850 943389 35851
172824741 632719 28750
236108395 242170 71037
97699162 980470 52044
483415768 641614 60321
559738816 53536 740
717200580 923582 30170
226277840 267009 57736
419649966 479681 57468
386933316 980167 30829
156052002 377753 23764
417102333 622647 96854
856804835 387621 50708
975959594 473043 38601
88874079 995408 79423
181259801 576275 51516
563443652 401042 74412
251885998 582514 23953
935654528 952140 18493
930819060 290742 84593
963249649 107996 46068
973291089 42475 46463
564441664 766170 84924
428312591 367685 12444
927486983 724579 83347
627478438 706885 31971
568216228 775151 672
674577123 267463 71209
584765367 425061 52162
811166609 379709 52720
853098328 135393 72836
753936849 225256 75443
21537142 272142 95638
168456344 479392 98117
160172746 822556 49222
453286620 423782 54991
774208390 854425 98396
319735286 368956 24207
372838012 297836 98797
221652566 567193 28986
480737662 526213 76785
666558898 382578 31965
486709431 528562 82985
205752038 862116 12133
223930221 131487 22722
442308975 172478 31542
625637513 724898 65168
446364401 366935 50472
640319732 854675 95310
651864186 115369 56591
517897204 801582 88803
7969169 628796 55365
782200402 800875 72784
576299871 659086 55448
982163528 907051 12312
405479076 279408 5427
774357091 913750 9070
565835774 146200 70959
155458229 376357 90086
788843692 793782 66154
686692867 566468 85815
282319223 98985 64959
589390602 331525 4218
928638716 920388 20780
541829736 514611 74642
953081225 355354 88478
717721262 975505 56907
254662805 266665 32836
456617574 838197 33137
821210091 989018 66055
150155868 35318 90889
313261686 510503 73619
371834427 990983 67674
250495895 310198 53776
770616539 90164 78758
316755439 551834 56347
703256715 696475 55297
851151058 63425 80408
805108851 810273 83613
637806333 363753 83031
879957208 870187 3691
345095841 174493 55837
433737575 775886 21724
650447154 374688 45555
847499736 373039 74280
696623610 353427 80204
546058033 978593 84954
520106874 715786 26391
498894924 465681 7760
708341590 588909 8801
438031451 37984 71096
361139018 760908 55537
795515047 788328 91853
459216134 875091 71408
898888434 520888 54684
879018898 4235 10837
209680196 751467 7325
83581725 417562 14985
9956978 246626 6618
312647796 358960 81302
537833862 232075 79558
557524951 976190 11272
715134048 175053 36014
511191695 304395 11890
718040938 475152 21188
68221474 535246 75142
859571875 340328 89988
637358840 829206 93569
318288744 417736 27846
488125948 240324 5102
497054557 84152 43374
579982226 827198 36352
556822720 744974 11338
59823000 621558 60731
992186384 620365 78844
657801398 938185 30082
314439227 94161 16093
213076621 84000 57278
944519487 97454 878
827155455 591983 77146
271125712 604481 64340
652283564 825244 6510
84734222 565357 30818
730434029 487999 83967
335428364 439725 81972
598358663 786530 65173
799932625 465766 44889
492205752 506319 89259
642017116 296999 39568
653310187 814084 86847
803713178 400361 24803
455058864 475243 79537
505005532 618022 91109
22070457 777592 11878
110226805 429414 33045
767525876 167441 82125
74899880 930489 77419
243781411 305219 65907
283182964 141933 37518
76750254 720590 30525
647291354 130 70698
478025455 42171 85226
658620893 933809 22897
451337442 789747 83570
390810026 510480 52586
310212543 103159 31027
614080237 542428 41271
564672231 369078 39848
568776012 714088 77592
436405470 180510 60217
745992687 32078 95550
542653309 608315 94325
842392014 550286 44169
985469492 737726 95123
160741619 730287 15794
157786523 754139 87632
321785567 30030 84359
980676233 325003 96848
728098524 281698 80747
840613380 650618 48961
715041302 274401 27170
521778946 422858 39004
622729369 983944 70997
571575329 103692 36059
698069484 507219 70780
882357700 216639 53777
410753075 304895 14402
266308856 423079 22379
872398744 641990 14785
301376903 179361 43035
223564333 431086 28118
152464812 833524 53761
907590853 548598 96848
530729952 616366 76410
548634215 336139 51719
720707597 217149 14327
896133852 821699 33215
216210615 164199 32047
172954225 654686 23484
357052506 241414 86519
239336403 797894 29410
26822196 525983 96751
98622568 552743 67976
35758158 198013 16585
392058039 445892 75339
321232519 379431 52321
208669646 60056 18553
824997259 521647 75807
848157420 867820 58919
751807725 351048 78603
14450764 978738 26160
61160380 559094 11202
980547148 232606 2210
869478269 204676 8477
577800580 646095 13620
342162319 321861 39971
608325705 213153 30771
479405947 418929 31272
154309015 710078 87553
208317590 412169 52826
929974380 353701 66254
466697953 852583 57612
91324977 492567 14867
841097433 794591 13303
818547581 951380 32395
923694572 864657 71383
896966104 323413 2931
694151210 206669 75341
238448194 900218 57978
216880220 425098 89464
856425603 781267 34719
262474373 517417 99009
392679587 432197 81884
701193355 238050 31072
341023738 418969 65956
148304462 1029 41106
498907020 456179 84858
471992743 911156 48237
34981578 390477 31187
749382237 566324 19028
393729755 938267 21123
577974978 751789 68206
172386211 87795 16176
590632444 831662 43210
707949471 317365 65398
923701308 803129 48917
337631255 442090 55886
116448348 18929 1824
407675761 316739 63163
124219825 251409 32808
591281915 765883 79461
50353670 221792 73780
370882775 910612 88137
508151250 520658 86604
638297316 114974 647
47181304 285218 8268
697732768 664582 55606
211984180 12243 97825
742456982 371787 89132
614379601 471920 2803
34015207 740247 87737
157113130 707370 19991
307864575 385317 34810
610369079 215724 99737
878795062 83449 31887
10312922 240626 34793
362167109 821138 74768
519381786 602570 44301
591146032 302375 38748
303745310 212114 77505
203549470 429582 30702
389008285 670967 92575
86541677 679691 53609
248298041 453932 43406
312942627 617080 8111
601862259 194011 74540
665441749 169056 84671
265860104 570113 50770
535701404 525612 82032
867571702 536460 35291
875653027 289931 93415
335409690 721291 53075
690339686 216812 73878
83389530 23399 44985
242590165 789982 50525
535437728 406055 64257
649653983 219329 79991
426186970 528973 28000
111735576 969152 64885
647808078 602428 40087
410277507 531804 17748
958725234 34292 84183
455217589 374528 56291
362347824 115251 85019
864641641 476488 51304
857032887 285340 55063
324366042 332854 34501
711720672 521956 28999
53755378 749398 50580
180821266 871393 33515
609451067 591554 19640
713216890 748852 6011
12155843 775663 3971
699019657 820697 98905
645842667 932214 4823
762356554 348800 32756
779878689 440023 1151
345030859 377582 49395
33922634 158360 35584
924351203 737257 18286
60508909 329438 74894
574180827 919657 43753
107847247 212184 63040
964644789 525656 77659
612383979 560246 23098
145551714 780944 4524
614789696 55576 72671
996805367 128566 28571
323808387 537634 96697
879355622 625380 56025
883289111 765759 31764
319135959 996621 44690
622498930 683987 5988
828288711 612187 20564
730726661 613044 12375
692445224 475087 49137
479023599 241369 1320
416169018 715063 11461
424023039 955781 68590
277860112 636212 86724
914701853 960921 78591
787861592 517447 52272
853410028 906111 1221
772913067 739322 67755
463926193 921185 70225
525262008 320924 46721
174390666 968625 35661
937880734 20639 64859
662399763 238367 94711
445569849 550371 23585
403445774 430586 97106
132486411 591914 52012
573221888 345173 5029
72288601 244715 63542
226770297 877632 23633
572862672 571423 48688
2116809 231455 62335
386513933 438078 662
480749687 619090 20498
392238441 941647 22486
358457182 850792 27750
48506866 209735 54753
605134958 676345 60466
826786534 445756 25706
717072222 302909 18143
88706116 931025 85757
33406307 884114 74056
580965356 218505 52987
813144125 644425 11299
363984057 475536 90600
763952879 408560 40597
374463500 308470 33190
540824998 159285 50595
852989174 655777 72068
353591375 999968 62665
951070003 964369 61850
86154258 494204 75398
759538402 135517 65732
831694483 111282 10314
769510422 321905 27300
373392025 808737 64175
486717064 772093 40024
529391956 261375 72762
363832126 167128 99644
806788535 157219 24707
837752302 601466 89801
530310775 26820 53999
522843835 704392 74022
549067121 127538 51881
57177408 482142 90567
934640089 596846 97897
229679930 876254 80524
723209990 782919 7057
228639657 909927 99431
620762987 33053 47085
471671614 308513 97739
332875689 390937 17525
844987010 59533 55795
910634225 561313 69123
151811894 597775 48864
325863053 452162 91424
114767958 396899 91741
361511744 76831 73160
791276624 128256 56714
875282609 217999 22822
776421711 5807 11251
383899888 952982 41320
798679381 483010 54968
247915702 174738 70762
408790522 758112 70620
244154691 597672 26862
437505083 229730 49912
221258086 788534 72842
354894396 17576 94888
117245345 620612 57956
778814137 19403 4430
710278382 852806 53735
796335513 381288 16058
52791227 190698 86655
805810073 560522 73958
792946107 591704 71285
44461511 794531 84046
595992874 305714 26758
759021525 709020 17586
903305611 595029 76206
164986006 221688 7823
525581778 832507 13280
655508571 895149 92090
768325396 39169 78179
36552008 32057 39107
74063365 25154 64969
922284182 552390 61707
129812022 277315 30032
304583684 772778 91718
306019118 126025 82169
647115699 333126 8268
556762026 972735 44859
485559515 880439 67843
781000650 792571 79836
420268829 644424 87822
455959349 242975 42789
930360303 500486 82396
104749812 85840 21858
44854280 520654 69016
919989344 25557 38734
871815979 414089 78698
262729938 930208 11155
980017983 871136 65761
736939510 357879 54942
591929075 721270 32324
305005855 656877 99745
397130845 626831 57849
539128671 259620 50510
375837635 761199 91586
325613336 177553 80838
559640473 186096 51343
210309110 556171 78031
102759678 202221 59908
38529685 286446 43688
227028938 538002 47009
364903785 304396 68251
464628734 976574 61574
125236796 703633 92238
727360755 496642 64556
335152606 338866 79083
849532677 774947 81827
179058608 388292 94493
23022332 384833 12806
643496588 489670 7420
811931759 637851 31478
773507975 133334 30400
692583371 295028 38702
890628805 86644 57417
735739355 968730 70758
21822633 429252 66573
993816121 975126 23370
771367731 319628 30785
973943720 603837 16846
397957067 662590 66892
393511188 122767 61610
57742772 55281 16940
662045084 860134 99363
781368750 510926 76977
240397311 930432 26961
918177171 259362 34524
866913604 281138 5717
484716319 399157 24955
740803369 666790 4523
907108842 302956 20517
70329194 288226 23378
559367868 710155 98206
496071216 457117 56412
445732795 771115 3138
688589493 960963 98492
410114004 659690 50493
731488615 461723 71416
477062925 281896 44885
688300749 398790 34375
821014175 280798 82824
963598931 61773 5118
723061594 283216 61372
953636088 392465 72154
594152518 606210 2897
835642930 430885 35032
554908902 17318 51657
213566648 662462 12525
600109258 91475 91
570806375 435807 54088
826957180 798089 74694
648850280 928005 47625
917862987 325474 28666
362698981 564674 38207
591449349 349162 18601
494395573 616982 7746
875632564 956745 71881
268517947 705164 91669
48642307 738399 18670
928727562 279317 60472
934385600 359999 74913
209149465 44051 8599
186250590 367896 19365
878143907 14345 59786
633523200 780441 28222
270969922 624888 27547
577342063 331476 87591
125062262 126807 61625
506542887 425286 98999
697513147 312711 71131
4893174 685729 14566
802265808 200305 18117
874841244 778056 55864
321921980 183119 61119
112092250 969336 62481
705587137 874838 30577
731054334 498377 24961
650618075 955665 28075
180315859 302764 34030
159417525 761911 14376
567235744 7361 32075
886575715 931584 89358
572227752 831800 52652
20775779 671477 91880
934695148 822189 65642
616674745 784586 72805
659855579 668892 82707
90234928 553981 65779
716579429 172319 21124
356570911 141932 59964
610877941 686760 63076
638262109 833269 94783
237588076 601863 23375
403723826 638414 68402
690254844 806050 18589
553623408 595666 62362
125601856 765832 51642
515336295 793495 2372
424095245 894374 35092
633951706 23277 58816
338503808 85368 28874
128216016 926587 49371
950596006 742188 49333
728000090 64194 2958
991044234 79680 62758
949642994 161762 6334
592788368 654534 17053
618410520 708392 27311
299378048 645701 85114
12601321 923537 14054
91120746 163782 26823
654336926 549060 62118
736095242 494023 73555
48445847 603901 10336
63726343 371367 92836
633250918 261968 90394
11527253 415160 84209
497069279 793801 23589
923909535 275590 72748
571145854 384316 6010
995177366 318799 2616
501744707 740988 26548
296780480 502303 93494
870757134 308395 89084
115705841 513450 86514
891025500 969795 50375
636993289 899678 69325
275193466 831947 88961
759972021 359846 27214
664022054 190737 57310
190968189 216141 6174
798310588 667638 12997
618976941 67201 79555
647638713 371982 57353
238591909 871797 26443
68105032 74368 44086
558052181 636597 78994
692508494 21184 28236
564338705 442065 86455
295226562 754162 36229
781468599 599391 4
277591588 932322 46831
754007602 904623 91556
461767490 341314 24324
890445299 211808 29669
666650403 68722 87390
138737971 205484 24912
759930607 773951 28991
160797171 436083 50698
293318048 638849 20883
514565762 922181 52494
640443185 267984 63362
386265635 505105 58166
8014436 765214 83863
20856496 520537 87735
237012177 560044 69433
533754344 982893 19654
664736093 624730 36390
391581527 853970 41748
121999872 12364 17976
317222169 268576 77036
104344570 899352 30276
195833480 302467 76492
333027959 421096 31063
478893074 928362 25256
515607509 249304 13855
346363148 394298 7112
491083519 583631 30476
433598911 767504 37770
928675013 248013 40189
29999798 582795 24005
922879300 684580 48367
739652784 822712 12393
809435891 551596 83327
525254086 632392 30009
726076638 273306 50701
16347820 771082 28464
293220307 703257 36743
231938398 657214 23633
446992728 201593 85413
582988590 714436 72805
760504272 755910 42628
868297834 667875 33447
683134109 217832 90461
242590731 750598 69797
803672604 301420 75984
659846731 41884 43844
785922400 314511 94387
327695494 541896 1996
764507429 23037 24579
676716617 293060 11165
454408930 117465 3578
240840437 608949 97169
40000601 706271 43854
608126348 739215 60118
433808833 589879 71076
991361678 882821 17793
438775613 873747 28179
303840924 22078 57988
372710524 982934 78689
714901605 223214 69804
17668213 626534 50785
244480955 556162 64526
159457698 457585 77784
96092828 984296 62107
32020141 552866 32970
590517240 853759 28770
193579836 492423 72784
782801486 141777 14673
163594591 861780 20593
418836241 866749 73369
171125242 825557 62936
109572696 136679 9039
512339582 924110 90059
939278027 917221 59698
368404780 377684 75840
732632422 828799 78004
217446215 753733 59201
230526702 719235 5274
808153915 847196 72448
661728341 120756 29714
411192982 469040 47295
913433861 665386 70725
491778993 866407 93964
793709651 472698 28815
619402609 480887 55072
806739384 106389 47385
847523716 190309 50902
746920426 724871 65612
801997522 32980 2419
773099960 305267 10900
828333519 900837 19311
531879653 645174 66969
173624141 739582 61649
524141631 115708 17489
784261955 281549 73772
410567592 754924 83894
131488393 503346 1446
794585206 15299 16592
376671261 646616 69915
709747828 6636 17703
615579331 942264 46214
260427019 152854 66072
313484605 169275 3426
427988210 563325 61585
706511415 738941 4944
484883214 171690 39033
336068587 324008 9574
88111191 740671 38802
890743388 71930 98792
465972279 242573 58184
347594063 158073 64267
421952227 696362 64565
52968806 503551 60028
696240553 120011 49852
536973765 841213 96816
791174242 901413 44827
862137931 560471 50057
157254161 24341 5661
99618235 988644 19057
149072819 261332 4030
290582792 933080 18973
717783103 527251 16552
698535701 122822 72905
996620382 896739 83419
300103291 121336 56806
466955951 287160 93127
192730219 440353 90984
865985388 960472 92337
713571089 69098 30757
737194354 858706 53356
76580103 647150 35381
80264113 672595 64870
89780519 819769 23971
597342951 275118 70730
152445795 540748 85622
829263217 285425 172
269195813 225321 56598
175044890 674500 76010
196221460 464413 31436
294113940 861903 89646
984349483 910699 37766
532032790 569814 3162
621921085 556291 75430
361846532 17513 86943
314304462 723764 21737
399416712 892090 4397
923250635 224713 8704
821849369 820460 34313
164693734 213066 9302
349141803 252847 29347
412316621 990575 29973
943808468 791428 16551
106142307 333948 62415
953163761 296556 13445
429091966 154801 43529
949667020 541391 54596
752562993 894729 52572
684220641 553104 91740
685725992 574982 87520
691297730 603112 38924
871112286 318990 69321
109070115 432215 60054
189038460 906126 4593
514395111 431237 12810
28312976 210512 81350
193165312 66907 49713
506649044 233882 19514
801288010 459719 90305
814139321 236166 66088
520250203 133944 15247
294426740 400496 92486
432592535 555520 42291
584073694 352724 38416
972647492 706414 59138
117624273 533371 79660
540113896 577028 81075
675767501 381389 76722
406556 392278 29714
285508831 918007 55948
57256471 511821 48264
777710266 217149 4119
489045114 637783 79833
488851012 223358 37004
257987022 288866 59245
347348957 735032 66835
358297539 891030 68140
996014837 678659 88773
524508352 187764 92947
650619481 29281 99226
24077603 195552 11839
443705605 688567 80299
996475997 910481 76771
788314325 889206 48998
480566879 982226 42275
120719371 2706 18576
467288073 190455 3298
98875907 936071 44410
549408813 455368 7493
795532424 939480 91858
734770736 630144 88343
493557593 475782 15234
449962926 161178 80520
703422265 208442 94353
26559363 915874 35750
515134525 750486 6220
593356890 345948 33856
