100000 100000
732391305 338813833 4222
259220374 209521885 67786
875337705 986182954 48253
248495618 395188817 19331
148796555 21054358 91715
66315286 427997618 42879
905119931 851956679 85841
107597563 362983506 31718
921550914 844753065 27754
692439943 854676026 15154
829823610 281888535 54743
740030976 3456674 79767
543155274 889603863 25384
613266265 463617445 73270
716544523 413057488 6234
297303787 480850460 87663
417056409 203797288 71315
95054734 510919363 52800
752930785 11196029 81970
804626168 826900418 12902
796923815 654035634 37712
874313131 874861230 98047
201056951 200977392 65230
383288770 912224522 49899
76158931 904052513 49798
954771880 502486568 64269
919435412 362974019 12413
310639024 585964094 44787
997240153 355875484 33170
84167761 681959961 53090
766591086 322605700 78856
842766344 363772235 81869
880125981 866137231 70816
590861843 29705549 52160
491675481 776889358 53838
262433490 547826579 44706
135647336 342814278 65935
308630423 760101110 37323
875173474 61535670 9427
368423444 485535087 77258
947063019 510540916 8027
42825607 434455827 11880
628736779 998784354 7201
275550978 452091599 76035
897074889 643069459 96441
797662975 723549526 12259
59372777 944126876 41658
591631597 233984228 93165
120102743 381989695 61670
457849357 29787380 75392
896935112 370904913 31446
714690027 633502783 52323
915369863 382353880 8591
772031711 817990369 71203
469065809 728528952 47709
68820810 809755625 97777
307181196 22754487 52138
439576009 758615455 15171
350545231 623251210 71500
975927962 666695337 15811
928079071 647481617 45275
664313623 336199345 84036
498627810 203584122 56379
791178805 780519866 54599
129175384 650325620 44016
665535809 651999841 61440
942908054 297997297 37621
682580288 434896315 15751
488507455 693162781 15443
632585666 755889638 36818
310877423 372786863 30805
682637206 440918513 66853
209965999 728500466 63350
519170611 887544516 43213
556364764 343386298 42663
880444611 740559307 78046
273809248 679169945 73281
953671572 68627524 75475
455224436 729591476 78943
668260239 710596 19575
24689751 333707047 51230
60778116 356523802 55296
207694593 675340369 56368
969339118 517365266 8863
909196530 114803864 4036
128948769 795256748 79642
469717100 44104053 6171
345501602 689973842 65824
597674007 296392919 73838
707081232 208825225 98496
929308002 491025018 85373
958198205 404345192 85339
206035586 729442723 22434
429597742 332157924 88976
671824568 587901583 87854
390754354 921296998 49671
585300004 968245851 48132
965734888 499006752 14369
428633532 587064508 89422
861913884 297112715 6674
907581855 166384181 14882
460928774 620550762 52591
999825189 345346717 7372
743985894 865440211 14001
219326361 962765135 95705
328359272 92261257 171
487798893 788110394 16226
378978236 931574439 52152
408334107 880192055 1685
129249433 146060254 99565
989500358 477922257 68942
169217194 962185900 56556
940303803 904264142 52424
796268087 713968340 31395
333359644 769728070 62832
668334688 292724932 92484
769834660 35644388 98914
588631611 130910700 25951
453333793 988037196 96716
783435550 408189928 9533
575667711 384917324 82290
604069404 237707778 33269
936669186 371509006 30699
981080976 938277508 52552
850966237 84269864 23504
269021258 108313060 34642
757610387 16313355 4010
488303185 202019249 9263
29182046 876671778 6633
72172283 975373968 45660
184871124 598403466 52830
910389361 385880822 97137
171671382 960753049 96198
809116238 805993962 83798
491469811 996409388 98570
973144949 49986458 81364
293963604 504855406 89868
444096007 104775893 53733
220657820 214750749 96772
214835159 102794735 93845
831043799 743338505 90615
280294342 672116275 40210
913971519 824668679 26193
541115806 229148303 6764
787332272 671412368 18317
377729746 62347703 5085
264703223 569095866 87263
703696732 725053847 99250
711936952 294177616 12693
925889101 641983659 53702
406091992 698717266 1755
656019545 545543428 26216
968306619 627530589 72403
108883703 51620545 27870
929931840 983075092 49635
47945138 278748445 81003
774076813 861941379 72780
207348146 8621866 5357
138866772 318726118 36098
430896570 594036747 92052
528352334 352624781 74646
504871795 139485755 18130
610975910 341110748 84442
252371975 509624880 85935
700594341 332195667 25621
767489469 1034361 28289
414088278 833757798 7513
215246975 460934500 83462
939236117 719172530 12430
749134566 301530221 77428
737486966 827789753 84160
219879526 397604148 26967
638016129 997203767 12908
753199718 509602364 53803
42738140 381536618 95876
53177955 268493339 96332
517829613 822522384 29018
577459051 543610058 93922
181078199 526255154 16839
670605768 549228981 82290
259686194 432749589 43900
582743765 351166784 72238
820135906 973891781 27713
523149931 750776191 66890
48086376 691218053 15370
830547581 445131350 33777
254757771 190116288 36426
698671279 332429617 8791
904375719 172935881 83207
21680468 833588035 6217
322570834 392634938 42359
155503883 249571736 64144
629232625 838749920 37530
48233726 864273118 94095
636330607 947299660 41761
522650862 468729646 75531
663988695 545057190 88295
817426674 916693522 79102
919797398 813015882 22015
642100434 247457300 60747
907907710 148617520 95923
766308459 855730314 59788
882488132 500424045 29311
239087617 947172449 83412
691070767 55323738 15568
141035437 812997011 11132
808049173 201797450 26801
19981359 224494677 62562
372004504 300693353 85241
394137465 72344097 64723
665095247 275724170 9263
670950716 597332858 51271
320334780 891644145 69666
221936331 348785395 91592
219666974 455886617 59765
991272264 424725355 29445
182416933 808188780 9916
230570869 334777307 74897
683336306 77072195 70971
870849261 478823671 79460
400492823 457418533 92193
654450789 600812973 84249
87648835 523181193 43157
454175976 382577565 78408
32677937 119173711 2521
954796138 415715765 43261
555089612 28082581 58337
591626395 350629750 61527
668595453 482337685 67832
852898610 520825562 68072
996484353 303491129 28800
661906185 201888973 21725
96067029 496146930 1313
163238530 871950342 22783
509521257 427281552 25090
992208616 72734528 59596
639521517 344760613 41442
316250877 992360095 26022
996634384 124733433 98036
123944725 492873352 37452
188256852 551820614 70393
856310928 899202114 27261
843222765 482917573 58487
359023134 865738545 54448
34743804 761236651 57646
938172652 755129132 4875
912669339 806564998 35588
799829545 97885040 56167
782107997 578998113 87585
804127337 723683184 61358
350225969 595271913 4447
592168135 688858898 37690
774397024 28571004 89620
259085670 83849688 5490
951238373 862390237 31963
842367496 582290750 39830
265729810 408161401 22315
193435457 618542368 45846
356747937 40278505 95101
93797771 548682561 53381
310789132 854308062 71306
202418401 465627654 90086
103171844 821847641 54176
774785382 881172597 19244
951471672 111962134 33424
599497546 822459283 25082
785893931 330237609 6232
187905258 50526357 17446
938369833 588935450 60093
424291598 462270039 39307
968102199 905011299 5463
761550961 263771611 89089
402924410 940253712 96058
269309994 228106390 83708
397008737 834513970 19197
292882154 574475519 55435
709474773 422878980 89279
887969501 126862554 22627
611118772 967375125 37275
183761982 566086138 40645
596515429 331598988 45325
331458550 582972809 60195
253488089 81829281 3025
664544528 291337620 69133
685598151 967103415 18166
978434638 844077516 9092
55444161 453068189 35692
777258985 416453247 33225
597751727 733584358 15676
311117169 330099316 11246
427514793 970874452 28011
570686574 592388090 93034
856180364 226540080 65486
358825752 666274281 28064
133614614 633874710 46258
5796919 897133059 60185
650732732 277836653 18342
889608230 45466295 16075
480545318 114565022 37187
298829276 434874502 11257
248651131 768336477 36285
978161120 931362001 518
