12000 75
977355629 123456789 68811
690349271 123456789 78535
744445645 123456789 75160
453313175 123456789 97693
946047583 123456789 21711
501652984 123456789 38349
867440960 123456789 17857
93576427 123456789 52975
27435954 123456789 25254
252341757 123456789 10928
810041903 123456789 24906
630089972 123456789 58558
800510918 123456789 87701
48638377 123456789 56434
68480538 123456789 15149
779940801 123456789 9687
304990877 123456789 99537
651726893 123456789 88736
517565982 123456789 40099
814696312 123456789 77290
46476338 123456789 81606
575712232 123456789 69674
313219776 123456789 45291
160545480 123456789 93159
316611527 123456789 46731
804769306 123456789 47375
34870374 123456789 84351
831532668 123456789 94445
509080534 123456789 17626
701129546 123456789 35809
862482367 123456789 47789
421471339 123456789 9035
594205379 123456789 43641
684559035 123456789 76070
115478841 123456789 98696
270106248 123456789 57154
21903325 123456789 86367
915928414 123456789 62539
92794061 123456789 3551
474253415 123456789 35988
267039142 123456789 22052
674936936 123456789 49917
894950733 123456789 51421
976639127 123456789 92782
508084638 123456789 58638
665886857 123456789 40676
220036705 123456789 98865
15983621 123456789 24344
195221325 123456789 55598
430341361 123456789 68067
81802349 123456789 81328
197588210 123456789 58293
227263098 123456789 40457
18141625 123456789 72732
911280447 123456789 99712
993267031 123456789 19573
786910517 123456789 76564
955381581 123456789 58526
506011224 123456789 14011
417255141 123456789 24014
274796328 123456789 38454
452934734 123456789 42402
853465457 123456789 74687
15555125 123456789 33977
294934308 123456789 85278
463614917 123456789 71875
553185242 123456789 57113
460260194 123456789 18034
462259429 123456789 53318
416408519 123456789 61058
32483416 123456789 5317
579357417 123456789 64727
612714453 123456789 86919
700344352 123456789 27724
218428652 123456789 75141
764810619 123456789 491
788853046 123456789 47642
645841551 123456789 84730
875208550 123456789 78237
35234088 123456789 35271
391933155 123456789 12638
739640610 123456789 89203
924730038 123456789 91302
212759626 123456789 25264
977254347 123456789 86619
593620811 123456789 92782
327256028 123456789 10799
197095070 123456789 26769
867746779 123456789 89141
815519546 123456789 35916
653594353 123456789 86579
27507244 123456789 44036
340074432 123456789 24798
312851128 123456789 69585
429178575 123456789 99123
846740528 123456789 95615
996163641 123456789 79262
706205802 123456789 92925
778606069 123456789 89480
272718420 123456789 38234
227684919 123456789 27530
885788230 123456789 5113
544958624 123456789 12980
497788624 123456789 4574
517646003 123456789 21004
15664571 123456789 39698
223722072 123456789 5381
154544400 123456789 16018
522349926 123456789 8258
360915131 123456789 62028
944760491 123456789 90838
209392487 123456789 45124
798307127 123456789 37007
575332294 123456789 53877
223133304 123456789 51530
438569927 123456789 16682
223632420 123456789 48854
429907286 123456789 8465
781147001 123456789 91298
600580182 123456789 47651
471123521 123456789 74593
135918579 123456789 60962
902306753 123456789 66831
870114919 123456789 81572
344803076 123456789 53834
850960296 123456789 78079
121277878 123456789 11266
978027419 123456789 84933
725296029 123456789 43428
939970171 123456789 76937
206222490 123456789 34526
687447196 123456789 85478
408677262 123456789 79397
38601931 123456789 89118
353139420 123456789 35463
75892047 123456789 85341
339520443 123456789 48433
219127064 123456789 36099
271616160 123456789 3827
233199674 123456789 13743
39884029 123456789 46852
39834602 123456789 55289
618829478 123456789 11619
418559805 123456789 46797
666792127 123456789 11692
879593761 123456789 61721
444910161 123456789 22223
638874957 123456789 21097
229746544 123456789 39070
942433146 123456789 46710
638420469 123456789 95061
243518475 123456789 12297
191446653 123456789 88948
172697229 123456789 61903
758756346 123456789 88399
737210643 123456789 36878
857367254 123456789 96939
344143599 123456789 18844
951410601 123456789 13159
499650895 123456789 31452
100716328 123456789 78317
147426726 123456789 20806
530779985 123456789 9465
634440772 123456789 90484
848814632 123456789 4576
213380533 123456789 5891
930579337 123456789 21348
664347117 123456789 67514
543880265 123456789 50170
761820745 123456789 19676
161982276 123456789 34816
71106131 123456789 76665
849406298 123456789 84156
616692421 123456789 44134
283330385 123456789 88479
344480782 123456789 77723
383883243 123456789 25424
527966643 123456789 39414
144055378 123456789 8677
333174148 123456789 46650
142471434 123456789 29601
623083096 123456789 32824
685245608 123456789 21145
521784354 123456789 10066
106243198 123456789 60936
272661395 123456789 71105
316197677 123456789 21859
105870484 123456789 8997
778275069 123456789 32301
164918074 123456789 28446
420925637 123456789 66205
873732073 123456789 62635
704714958 123456789 58282
504163430 123456789 39776
744004523 123456789 70682
640329128 123456789 98854
442672725 123456789 60931
192219359 123456789 83416
20924843 123456789 43078
700147869 123456789 31944
590337899 123456789 32316
425195184 123456789 20947
934662326 123456789 87201
966472676 123456789 43926
260094776 123456789 39905
66638591 123456789 16264
301614981 123456789 83114
292435715 123456789 66872
944227929 123456789 73416
250865325 123456789 68302
916866498 123456789 23914
639192723 123456789 17118
837300764 123456789 98791
989671003 123456789 3937
245383573 123456789 96049
938400779 123456789 47456
643825406 123456789 3477
418219170 123456789 30494
521258551 123456789 42523
238152038 123456789 71066
407329758 123456789 41627
199226186 123456789 35854
362370258 123456789 30669
237753856 123456789 44529
977061893 123456789 69744
937162449 123456789 4176
629757405 123456789 31391
475823857 123456789 34911
258291101 123456789 81027
12624965 123456789 35616
72750424 123456789 76131
22729737 123456789 80516
44723894 123456789 4471
836068007 123456789 48641
617440375 123456789 46885
738097578 123456789 32853
788375887 123456789 74596
158380030 123456789 55227
921923528 123456789 43898
135714019 123456789 90263
102301432 123456789 73203
584663833 123456789 97740
112052944 123456789 9163
468113515 123456789 70594
226455805 123456789 51531
314697976 123456789 46231
898817433 123456789 87666
916102610 123456789 42318
337512312 123456789 51683
121784779 123456789 78269
822946142 123456789 43694
778273515 123456789 89018
124064580 123456789 50447
298333497 123456789 85155
63760894 123456789 80300
